,MSRDT_DE,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25
13165,20171204,송파구,0.02,0.018000000000000002,0.5,0.004,41.0,22.0
13204,20171205,송파구,0.02,0.019,0.3,0.004,22.0,13.0
13243,20171206,송파구,0.032,0.009000000000000001,0.5,0.004,28.0,21.0
13282,20171207,송파구,0.027999999999999997,0.01,0.8,0.004,36.0,26.0
13321,20171208,송파구,0.023,0.016,0.6,0.005,31.0,24.0
13360,20171209,송파구,0.040999999999999995,0.005,0.7,0.006,40.0,25.0
13399,20171210,송파구,0.028999999999999998,0.012,0.5,0.004,34.0,23.0
13438,20171211,송파구,0.012,0.019,0.3,0.004,52.0,11.0
13477,20171212,송파구,0.019,0.016,0.4,0.005,33.0,18.0
13516,20171213,송파구,0.03,0.01,0.5,0.005,41.0,23.0
13555,20171214,송파구,0.042,0.004,0.7,0.006,54.0,36.0
13594,20171215,송파구,0.057,0.003,1.1,0.006999999999999999,76.0,55.0
13633,20171216,송파구,0.025,0.015,0.8,0.004,54.0,43.0
13672,20171217,송파구,0.016,0.023,0.5,0.005,39.0,14.0
13711,20171218,송파구,0.043,0.004,0.8,0.006,51.0,35.0
13750,20171219,송파구,0.022000000000000002,0.015,0.3,0.004,47.0,19.0
13789,20171220,송파구,0.042,0.005,0.8,0.005,43.0,29.0
13828,20171221,송파구,0.047,0.005,0.6,0.005,46.0,35.0
